工业互联网,1176.15,3.29%,152.05,113.05,38.99,109,神州泰岳,10.05%,6.24
特高压,1835.92,3.27%,44.15,29.50,14.65,60,安靠智电,6.83%,33.01
口罩,1342.81,3.26%,131.60,101.42,30.18,143,海能达,10.08%,6.99
胎压监测,1093.51,3.26%,11.54,7.32,4.22,24,苏州固锝,9.03%,10.87
深股通,879.17,3.25%,1213.84,901.78,312.06,706,台海核电,10.12%,4.46
互联网,603.354,3.25%,273.52,189.34,84.18,192,美克家居,10.11%,4.90
超级电容,889.603,3.24%,23.98,16.64,7.33,26,思源电气,6.76%,18.80
创投,1761.45,3.20%,188.35,143.30,45.05,262,金固股份,10.10%,5.56
光伏概念,1472.86,3.18%,141.59,109.74,31.85,164,京运通,10.10%,4.36
智能电网,1491.85,3.17%,60.97,44.84,16.13,120,国轩高科,10.00%,32.89
消费金融,811.221,3.16%,11.14,8.62,2.52,14,小商品城,10.14%,3.80
蚂蚁金服概念,1080.29,3.15%,53.39,42.48,10.91,39,申通地铁,10.03%,16.90
足球概念,921.399,3.15%,26.06,20.39,5.67,24,神州泰岳,10.05%,6.24
智能物流,675.966,3.13%,34.42,26.62,7.81,46,美克家居,10.11%,4.90
动物疫苗,1557.96,3.11%,13.77,10.24,3.53,13,金河生物,8.70%,7.50
无人机,1369.73,3.10%,48.64,37.51,11.13,59,大华股份,10.01%,16.37
体育产业,623.701,3.10%,45.41,34.83,10.58,58,暴风集团,10.23%,1.94
氟化工,1658.2,3.09%,12.77,9.92,2.85,15,联创股份,7.35%,2.19
机器人概念,1530.96,3.09%,179.13,129.58,49.55,162,神州泰岳,10.05%,6.24
透明工厂,956.51,3.08%,15.23,12.33,2.91,27,中威电子,10.02%,7.36
钛白粉,953.575,3.06%,4.11,3.03,1.08,8,龙蟒佰利,8.64%,16.97
半年报预增,1201.81,3.06%,29.33,23.21,6.12,25,威创股份,6.80%,6.44
锂电池,669.096,3.05%,195.64,151.51,44.13,207,江淮汽车,10.04%,9.97
智能交通,918.683,3.05%,59.95,45.25,14.70,53,盛视科技,10.00%,85.37
充电桩,2343.42,3.04%,59.06,41.11,17.95,95,扬杰科技,10.00%,27.27
电子竞技,317.478,3.04%,31.01,23.35,7.66,28,联络互动,9.41%,1.86
在线旅游,1554.49,3.03%,17.22,15.91,1.31,15,凯撒旅业,9.99%,12.22
电子商务,2466.45,3.03%,197.26,155.05,42.21,199,小商品城,10.14%,3.80
宁德时代概念,784.256,3.02%,83.33,60.03,23.30,74,长盈精密,10.00%,19.47
上海自贸区,2400.62,3.02%,46.16,35.60,10.56,52,怡亚通,10.07%,4.92
C2M概念,1009.58,3.01%,18.48,16.53,1.95,30,美克家居,10.11%,4.90
工业4.0,1197.56,3.00%,120.16,97.55,22.60,163,惠而浦,10.07%,4.92
分拆上市意愿,1099.75,3.00%,58.13,44.66,13.47,41,金固股份,10.10%,5.56
量子通信,1179.58,3.00%,46.50,33.56,12.93,35,蓝盾股份,8.15%,3.85
能源互联网,677.406,2.95%,23.36,16.97,6.39,37,朗新科技,5.98%,17.36
互联网彩票,430.439,2.94%,17.09,14.94,2.15,20,姚记科技,10.01%,32.30
氢氟酸,1203.91,2.94%,22.82,19.43,3.39,16,南大光电,10.01%,37.15
黑洞概念,1017.15,2.94%,11.66,9.08,2.58,10,海能达,10.08%,6.99
高校,911.393,2.93%,29.01,25.25,3.76,56,同方股份,10.06%,7.66
迪士尼,1378.34,2.93%,45.41,41.27,4.14,52,申通地铁,10.03%,16.90
融资融券,1009.43,2.92%,2250.91,1725.15,525.75,1689,凌志软件,20.01%,49.60
空铁WIFI,1003.93,2.90%,10.90,8.06,2.83,7,星网锐捷,6.09%,34.32
互联网保险,806.683,2.88%,32.14,23.08,9.06,23,金证股份,9.99%,17.72
长三角一体化,852.168,2.88%,37.59,27.07,10.52,146,迈为股份,10.00%,250.23
3D打印,1647.64,2.88%,27.55,22.06,5.48,53,爱司凯,9.98%,22.25
非科创次新股,1118.17,2.87%,123.11,111.40,11.71,136,中银证券,10.02%,22.61
燃料乙醇,1075.27,2.86%,5.74,3.32,2.42,7,双塔食品,9.98%,14.76
外资券商影子股,751.43,2.85%,7.68,5.07,2.62,8,华鑫股份,6.57%,17.51
水泥,1050.97,2.85%,33.57,25.92,7.66,30,新力金融,9.96%,8.39
智能医疗,2809.63,2.82%,66.58,42.32,24.25,48,凯迪股份,44.00%,133.33
供应链金融,480.437,2.82%,23.90,18.92,4.98,47,怡亚通,10.07%,4.92
共享单车,881.323,2.82%,12.54,11.13,1.41,11,科达股份,10.11%,4.90
新能源汽车,1556.31,2.81%,252.37,199.45,52.92,317,江淮汽车,10.04%,9.97
参股新三板,642.43,2.80%,177.68,138.14,39.54,300,同方股份,10.06%,7.66
新零售,867.246,2.80%,85.33,65.39,19.95,101,金固股份,10.10%,5.56
人民币贬值受益,1103.08,2.79%,92.23,78.38,13.85,123,怡亚通,10.07%,4.92
金改,1706.61,2.79%,49.18,42.49,6.70,64,小商品城,10.14%,3.80
医疗器械概念,2026.88,2.78%,154.98,129.47,25.51,133,振德医疗,10.01%,43.97
创业板重组松绑,1201.78,2.77%,33.61,28.02,5.59,362,蓝英装备,10.03%,11.30
军工,935.123,2.76%,240.65,201.97,38.68,341,台海核电,10.12%,4.46
新材料概念,1866.18,2.74%,153.09,125.99,27.10,175,皇马科技,10.01%,19.78
禽流感,2185.26,2.74%,37.73,33.92,3.81,32,金河生物,8.70%,7.50
军民融合,727.832,2.73%,86.94,73.96,12.98,130,泰禾集团,9.98%,4.52
MSCI概念,1103.96,2.69%,1325.66,985.74,339.92,482,三聚环保,10.08%,4.04
参股券商,937.747,2.69%,77.64,54.09,23.54,232,小商品城,10.14%,3.80
无人零售,992.387,2.67%,12.90,9.88,3.02,16,供销大集,9.90%,4.33
节能环保,1336.1,2.66%,67.87,58.36,9.51,169,奥福环保,16.16%,64.75
标普道琼斯A股,1034.14,2.66%,1574.89,1191.47,383.42,1099,小商品城,10.14%,3.80
粤港澳大湾区,1439.65,2.64%,32.01,25.82,6.19,82,怡亚通,10.07%,4.92
石墨烯,735.79,2.64%,42.37,33.10,9.28,57,欣旺达,9.98%,15.65
医疗废物处理,1114.23,2.63%,5.43,3.67,1.76,22,*ST辉丰,5.04%,2.50
航空发动机,962.912,2.63%,11.55,9.48,2.06,27,铂力特,6.07%,50.84
新疆振兴,552.434,2.61%,18.15,14.39,3.76,37,美克家居,10.11%,4.90
