300456,赛微电子,26.24,0.59,2.30%,25.65,25.50,26.80,25.10,3540.42万,23.31万,6.07亿,6.80
000592,平潭发展,2.45,0.05,2.08%,2.40,2.41,2.54,2.38,3424.44万,80.83万,1.98亿,4.22
300037,新宙邦,43.13,0.21,0.49%,42.92,42.92,44.38,42.48,3392.95万,6.20万,2.68亿,2.41
300144,宋城演艺,19.01,0.51,2.76%,18.50,18.49,19.23,18.30,3346.08万,19.08万,3.61亿,0.86
000001,平安银行,13.54,-0.01,-0.07%,13.55,13.64,13.88,13.50,3332.13万,95.68万,13.09亿,0.49
002683,宏大爆破,34.90,0.38,1.10%,34.52,34.52,35.20,34.01,3274.84万,7.77万,2.71亿,1.28
001914,招商积余,32.79,-1.56,-4.54%,34.35,34.35,34.39,32.08,3261.70万,12.80万,4.22亿,1.92
300026,红日药业,5.53,0.50,9.94%,5.03,5.11,5.53,5.10,3166.79万,227.48万,12.43亿,8.55
002078,太阳纸业,8.94,0.03,0.34%,8.91,8.90,8.98,8.82,3161.09万,27.98万,2.50亿,1.09
002212,南洋股份,26.43,-0.20,-0.75%,26.63,26.63,26.82,25.85,3142.06万,11.00万,2.90亿,0.98
300454,深信服,183.47,0.59,0.32%,182.88,177.00,185.30,176.93,3097.32万,3.06万,5.58亿,1.46
002493,荣盛石化,11.85,0.19,1.63%,11.66,11.70,12.28,11.65,2932.14万,15.71万,1.88亿,0.27
002008,大族激光,32.61,0.33,1.02%,32.28,32.40,33.43,31.78,2917.33万,28.04万,9.12亿,2.82
300298,三诺生物,21.76,0.20,0.93%,21.56,21.61,22.28,21.51,2776.50万,8.48万,1.86亿,1.93
300357,我武生物,56.08,0.03,0.05%,56.05,56.40,57.00,55.60,2687.66万,2.86万,1.62亿,0.62
002382,蓝帆医疗,24.07,0.14,0.58%,23.93,24.08,25.06,23.80,2658.70万,40.76万,9.91亿,6.36
300413,芒果超媒,52.83,-1.12,-2.08%,53.95,54.69,54.92,52.52,2640.34万,9.61万,5.13亿,1.15
000050,深天马A,14.82,-0.07,-0.47%,14.89,14.91,15.11,14.71,2603.59万,38.03万,5.68亿,2.08
000951,中国重汽,28.05,0.25,0.90%,27.80,28.20,28.73,27.79,2493.02万,7.04万,1.98亿,1.05
000976,华铁股份,4.83,0.14,2.98%,4.69,4.70,4.89,4.70,2481.39万,21.36万,1.03亿,1.34
300406,九强生物,19.88,0.90,4.74%,18.98,18.98,20.42,18.98,2416.37万,8.11万,1.60亿,2.45
300115,长盈精密,19.83,0.20,1.02%,19.63,19.80,20.55,19.55,2408.62万,38.69万,7.74亿,4.27
